Spell Name,,Discription,Ritual ,Option_A,Casting Time,Cast condition,Components,Material,Duration,Page No.,Use,Save/ Attack Roll,Utility Effect,Damage Type ,Letter,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock ,Wizard
Chill Touch,conjuration,"Channeling the chill of the grave, make a melee spell attack against a target within reach. On a hit, the target takes 1d10 Necrotic damage, and it can't regain Hit Points until the end of your next turn
Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10)",No,Cantrip,Action,,"V, S",,Instantaneous,249,Damage,Attack Roll,_,Necrotic,C,No,No,No,No,No,Yes,Yes,Yes
Chromatic Orb,divination,"You hurl a orb of energy at a target within range. 
Choose Acid, Cold, Fire, Lightning, Poison, or Thunder for the type of orb you create, and then make a ranged spell attack
against the target. On a hit, the target takes 3d8 damage of the chosen type.
If you roll the same number on two or more of the d8s, the orb leaps to a different target of your choice within 30 feet of the target. Make an attack roll against the new target, and make a new damage roll. The orb can't leap again unless you cast the spell with a level 2+ spell slot.
Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1. The orb can leap a mamimum number of times equal to the level of the slot expended, and a creature can be targeted only once by each casting of the this spell.",No,Level 1,Action,,"V, S, M*",(a diamond worth at least 50+ gp),Instantaneous,249,Damage,Attack Roll,_,Choice,C,No,No,No,No,No,Yes,No,Yes
Circle Of Death,enchantment,"Negative energy ripples out in a 60-foot radius Sphere from a point you choose within range. Each creature
in that area makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one.
Using a Higher-Level Spell Slot. The damage increases by 2d8 for each spell slot level above 6.",No,Level 6,Action,,"V, S, M*",(the powder of a crushed black pearl worth 500+ GP,Instantaneous,250,Damage,Constitution Save ,_,Necrotic,C,No,No,No,No,No,Yes,Yes,Yes
Circle Of Power,necromancy,"An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Advantage on saving throws against spells and other magical effects. When an affected creature makes a saving throw against a spell or magical effect that allows a save to take only half damage, it takes no damage if it succeeds on the save. ",No,Level 5,Action,,V,,"Concentration, up to 10 Minutes",250,Protection,_,_,_,C,No,Yes,No,Yes,No,No,No,Yes
Clairvoyance,conjuration,"You create an Invisible sensor within range in a location
familiar to you (a place you have visited or seen before)
or in an obvious location that is unfamiliar to you (such
as behind a door, around a corner, or in a grove of trees).
The intangible, invulnerable sensor remains in place for the duration. 
When you cast the spell, choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As a Bonus Action, you can switch between seeing and hearing. 
A creature that can sees the sensor (such as a creature
benefiting from See Invisibility or Truesight) sees a
luminous orb about the size of your fist.",No,Level 3,10 Minutes,,"V, S, M*","(a focus worth 100+ GP, either a jeweled horn for hearing or a glass eye for seeing)","Concentration, up to 10 Minutes",250,Utility,_,Sensory Information,_,C,Yes,Yes,No,No,No,Yes,No,Yes
Clone,illusion,"You touch a creature or at least 1 cubic inch of its flesh. An inert duplicate of that creature forms inside the vessel used in the spell's casting and finishes growing after 120 days; you choose whether the finished clone is the same age as the creature or younger. The clone remains inert and ednures indefinitely while its vessel remains undisturbed.
If the orginal creature dies after the clone finishes forming, the creature's soul transfers to the clone if the soul is free and willing to return. The clone is physically identical to the original and has the same pesonaility, memories, and abilities, but none of the original's equipment. The creature's original remains, if any become inert and can't be revived, since the creature's soul is elsewhere. ",No,Level 8,1 Hour,,"V, S, M**","(a diamond worth at least 1,000+
GP which the spell consumes and a sealable vessel worth at least 2,00+ GP that is large enough to hold the creature being cloned. 
",Instantaneous,251,Utility,_,_,_,C,No,No,No,No,No,No,No,Yes
Cloudkill,transmutation,"You create a 20-foot-radius Sphere of yellow-green
fog centered on a point within range.
The fog last for the duration or until strong wind such as the one created by Gust of Wind) disperses it, ending the spell. Its area is Heavily Obscured.
Each creature in the Sphere makes a Constitution saving throw taking 5d8 poison damage on a failed save or half as much damage on a successful one. A creature must also make this save when the Sphere moves into its space and when it enters the Sphere or ends its turn there. A creature makes this save only once. The Sphere moves 10 feet away from you at the start of each of your turns.
Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5.",No,Level 5,Action,,"V, S",,"Concentration, up to 10 Minutes",251,Damage,Constitution Save ,_,Poison ,C,No,No,No,No,No,Yes,No,Yes
Cloud Of Daggers,abjuration,"You conjure spinning daggers in a 5-foot Cube centered on a point within range. Each creature in that area takes 4d4 Slashing damage. A creature also takes this damage if it enters the Cube or ends its turn there or if the Cobe moves into its space. A creature takes this damage only once per turn. On your later turns, you can take a Magic action to teleport the Cube up to 30 feet.
Using a Higher-Level Spell Slot. The damage increases by 2d4 for each spell slot level above 2. 
",No,Level 2,Action,,"V, S, M",(a sliver of glass),"Concentration, up to 1 Minute",251,Damage,_,_,Slashing,C,Yes,No,No,No,No,Yes,Yes,Yes
Color Spray,divination,"You launch dazzling array of flashing, colourful light.
your hand. Each creature in a 15-foot Cone originating from you must succeed on a Constitution saving throw or havethe Blinded condition until the end of your next turn.",No,Level 1,Action,,"V, S, M",(a pinch of colourful sand),Instantaneous,251,Debuff,Constitution Save ,Blinded,_,C,Yes,No,No,No,No,Yes,No,Yes
Command,transmutation,"You speak a one-word command to a creature you can
see within range. The target must succeed on a Wisdom
saving throw or follow the command on its next turn.
Choose the command from these options.
Approach. The target moves toward you by the
shortest and most direct route, ending its turn if it
moves within 5 feet of you.
Drop. The target drops whatever it is holding and then
ends its turn.
Flee. The target spends its turn moving away from
you by the fastest available means.
Grovel. The target has the Prone condition and then ends its turn.
Halt. On its turn, the target doesn’t move and takes no action or Bonus Action.
Using a Higher-Level Spell Slot. You can affect one additional creatture for each spell slot level above 1. ",No,Level 1,Action,,V,,Instantaneous,251,Control,Wisdom Save,_,_,C,No,Yes,No,Yes,No,No,No,No
Commune,necromancy,"You contact a deity or a divine proxy and ask up to
three questions that can be answered with a yes or no.
You must ask your questions before the spell ends. You
receive a correct answer for each question.
Divine beings aren’t necessarily omniscient, so you
might receive “unclear” as an answer if a question
pertains to information that lies beyond the deity’s
knowledge. In a case where a one-word-answer could be
misleading or contrary to the deity’s interests, the DM
might offer a short phrase as an answer instead.
If you cast the spell more than once before finishing
a Long Rest, there is a cumulative 25 percent
chance for each casting after the first that you get no
answer. ",Yes,Level 5,1 Minute,,"V, S, M",(incense),1 Minute,252,Utility,_,Information,_,C,No,Yes,No,No,No,No,No,No
Commune With Nature,enchantment,"You commune with nature spirits and gain knowledge of the surrounding area. In the outdoors, the spell gives you knowledge of the area within 3 miles of you. In caves and other natural underground settings, the radius is limited to 300 feet. The spell doesn’t function where nature has been replaced by construction, such as in castles and settlements.

Choose three of the following facts; you learn those facts as they pertain to the spell’s area:

Locations of settlements
Locations of portals to other planes of existence
Location of one Challenge Rating 10+ creature (DM’s choice) that is a Celestial, an Elemental, a Fey, a Fiend, or an Undead
The most prevalent kind of plant, mineral, or Beast (you choose which to learn)
Locations of bodies of water
For example, you could determine the location of a powerful monster in the area, the locations of bodies of water, and the locations of any towns.",Yes,Level 5,1 Minute,,"V, S",,Instantaneous,252,Utility,_,Information,_,C,No,No,Yes,No,Yes,No,No,No
Compelled Duel,conjuration,"You try to compel a creature into a duel. One creature that you can see within range makes a Wisdom saving throw. On a failed save, the target is has Disadvantage on attack rolls against creatures other than you, and it can't willingly move to a space that is more than 30 feet away from you.
The spell ends if you make an attack roll against a creature other than the target, ifyou cats a spell on an enemy other than the target, if an ally of youres damages the target, or if you end your turn more than 30 feet away from the target. ",No,Level 1,Bonus Action,,V,,"Concentration, up to 1 Minute",252,Control,_,_,_,C,No,No,No,Yes,No,No,No,No
